sample_id,aspect_ratio,taper_ratio,twist_deg,alpha_root_deg,airfoil_cl_alpha_per_rad,alpha_L0_deg,CL,CDi,cl_section_max,eta_of_cl_max,root_bending_coeff,split
0,6.57911,0.926144,-5.4344,0.373777,6.13799,-0.665581,-0.113338,0.00207106,0.00332602,6.12323e-17,-0.0368562,test
1,7.73547,0.653929,-3.29896,8.76821,5.91202,-1.35984,0.705797,0.0207773,0.800435,0.130526,0.1489,train
2,4.74182,0.658099,-2.59355,-1.16496,5.65073,-2.04668,-0.0178789,0.000258902,0.0256519,6.12323e-17,-0.00823114,train
3,13.1286,0.896309,-2.86058,1.26741,6.7576,-3.52003,0.341365,0.0028886,0.463156,6.12323e-17,0.0701837,train
4,13.6178,0.581854,-0.378586,5.81443,5.76054,-3.5486,0.803352,0.0157214,0.841415,0.382683,0.176518,train
5,9.07395,0.66485,-0.0983924,1.75236,5.93999,-3.76389,0.460481,0.00770408,0.490151,0.382683,0.102097,train
6,8.97718,0.320627,-2.5107,4.05808,5.89358,-1.64263,0.392886,0.00586369,0.423051,0.19509,0.076299,train
7,6.39369,0.58332,-3.09968,-1.69696,6.23205,-0.116378,-0.239522,0.00343751,-0.0569684,0.997859,-0.0585914,test
8,6.26134,0.290181,-2.66886,6.97377,5.69335,-0.95499,0.521307,0.014424,0.546569,0.382683,0.103265,train
9,10.9377,0.34933,-4.65473,1.1655,6.05,-0.399588,-0.0344557,0.000731713,0.0720411,6.12323e-17,-0.0187867,train
10,9.3424,0.233469,-4.9185,4.35944,6.09926,-0.227979,0.226024,0.00281589,0.297693,0.0654031,0.0348723,train
11,13.0597,0.733057,-5.14119,6.13411,5.65666,-0.938833,0.403272,0.00428965,0.559835,6.12323e-17,0.0778379,train
12,10.5161,0.593217,-5.10867,6.81627,6.3361,-0.0498941,0.421787,0.00598192,0.554233,0.0654031,0.0796351,train
13,7.38488,0.567881,-1.08084,2.39997,6.11571,-0.424186,0.195723,0.00168069,0.220391,0.130526,0.0403772,train
14,13.4499,0.280558,-2.85447,4.95639,6.42226,-3.95178,0.747128,0.0141242,0.78327,0.258819,0.145892,train
15,5.68041,0.370325,-4.21183,3.31127,5.90862,-3.33732,0.374094,0.00855715,0.422199,0.130526,0.0712876,train
16,4.31727,0.877633,-0.2287,9.7804,5.64211,-0.96227,0.716552,0.0388517,0.806917,0.130526,0.159559,train
17,12.7069,0.230639,-1.0073,7.20959,6.53444,-3.02371,0.955009,0.0237968,1.00401,0.707107,0.190767,train
18,4.02686,0.849871,-5.89697,0.985971,6.4798,-0.972257,-0.0472228,0.00153714,0.052202,6.12323e-17,-0.0198206,train
19,9.0036,0.836387,-0.0602517,6.94267,5.80686,-2.16503,0.742276,0.0206333,0.804249,0.258819,0.168465,train
20,8.8367,0.564848,-5.93507,7.58009,6.51601,-0.408236,0.489636,0.00956016,0.629765,0.0654031,0.092524,train
21,7.55668,0.290872,-5.14642,7.47065,6.63382,-0.271398,0.503251,0.0121722,0.562455,0.130526,0.093114,train
22,5.50127,0.222444,-5.10965,8.6941,6.74497,-1.13968,0.648481,0.0264606,0.681675,0.321439,0.123643,train
23,6.71828,0.394124,-3.81781,5.95954,6.67274,-1.01471,0.469619,0.0111021,0.522639,0.19509,0.0914737,test
24,11.2102,0.279513,-4.44934,-1.73221,5.65214,-3.86853,0.0259552,0.000603151,0.115016,6.12323e-17,-0.00511891,train
25,6.90043,0.642272,-0.925758,9.29657,6.751,-3.01826,1.04976,0.0516718,1.13172,0.321439,0.228684,train
26,6.13605,0.495431,-3.71155,3.98945,6.17387,-3.07288,0.440481,0.0104691,0.503301,0.130526,0.0875943,test
27,10.7738,0.770487,-4.9781,-0.794259,6.62242,-2.11606,-0.0870977,0.00138455,0.0547185,6.12323e-17,-0.0330889,train
28,4.5994,0.624614,-5.05562,9.69799,6.54886,-3.43192,0.844338,0.0497922,0.961338,0.130526,0.17522,train
29,8.80032,0.92997,-4.24156,9.47099,6.17911,-2.30259,0.838044,0.0258341,1.03694,6.12323e-17,0.181672,train
30,5.43641,0.703712,-2.73855,5.44612,5.84343,-1.39926,0.418872,0.0103721,0.491549,0.0654031,0.0875263,train
31,8.8163,0.474368,-1.85899,0.800071,5.8183,-0.529099,0.04386,0.000177593,0.0818996,6.12323e-17,0.00523077,train
32,5.86769,0.808969,-4.56793,0.223008,6.54026,-1.73636,-0.00619712,0.000824888,0.0934876,6.12323e-17,-0.0105083,train
33,5.47856,0.953458,-3.70132,7.24809,6.24488,-3.26149,0.681614,0.0272104,0.853639,6.12323e-17,0.146734,train
34,10.2811,0.296892,-5.51724,-1.47327,6.58046,-2.76576,-0.0938917,0.00128885,0.0359813,6.12323e-17,-0.0333424,train
35,8.13397,0.996579,-1.62079,0.847502,5.77459,-3.36056,0.274169,0.00299035,0.349035,6.12323e-17,0.0595344,train
