sample_id,max_camber_m,camber_pos_p,thickness_t,alpha_deg,mach,reynolds,CL,CD,CM_c4,L_over_D,Cp_min,split
0,0.0584705,0.434393,0.0632394,1.55815,0.255058,3.07345e+06,0.937613,0.00867515,-0.174593,108.08,-0.921131,test
1,0.0527774,0.34197,0.0992203,4.94851,0.272194,1.36458e+06,1.26441,0.0111424,-0.142706,113.477,-1.63841,train
2,0.0360841,0.438541,0.170512,2.31587,0.490541,2.06305e+06,0.911013,0.0114506,-0.130597,79.5601,-1.37085,train
3,0.0153431,0.336129,0.196236,7.70285,0.324563,318254,1.24595,0.0181011,-0.0634908,68.8329,-2.67011,train
4,0.0323138,0.289772,0.0832636,3.75203,0.0919184,484406,0.809405,0.0124884,-0.076373,64.8125,-1.19838,train
5,0.0228698,0.235021,0.0758785,-2.43803,0.194685,645730,-0.0332406,0.0112098,-0.0442415,-2.96533,-1.80443,train
6,0.0107359,0.352595,0.109006,-2.2466,0.409682,2.55008e+06,-0.148552,0.00927228,-0.0264721,-16.0211,-0.967606,train
7,0.00846846,0.342717,0.158453,1.38753,0.229516,245123,0.288163,0.0160576,-0.0247707,17.9455,-0.822919,test
8,0.0101317,0.581575,0.193664,7.86314,0.122671,1.13766e+06,1.16914,0.0139014,-0.0613431,84.1023,-2.7282,train
9,0.0583883,0.510054,0.0930997,-2.37708,0.150687,3.23799e+06,0.532134,0.00877155,-0.190583,60.6658,-0.843892,train
10,0.019412,0.524946,0.0973625,-0.985467,0.130455,9.58521e+06,0.160457,0.00726995,-0.0654259,22.0713,-0.423165,train
11,0.00674853,0.391274,0.177499,4.25343,0.178519,1.49379e+06,0.634379,0.0120312,-0.02948,52.7278,-1.46745,train
12,0.000655645,0.379174,0.196507,-2.5331,0.18422,834049,-0.318234,0.0137989,0.00537978,-23.0622,-1.08725,train
13,0.0263994,0.392617,0.1826,6.07664,0.418721,913547,1.23578,0.0142154,-0.098178,86.9327,-2.21657,train
14,0.0285997,0.279566,0.130671,4.55199,0.0572067,2.57273e+06,0.893232,0.0101019,-0.070824,88.4224,-1.45834,train
15,0.045577,0.444802,0.127728,6.18106,0.256318,776689,1.40186,0.013329,-0.152855,105.174,-2.42205,train
16,0.000411348,0.437347,0.0763781,7.812,0.235285,3.49387e+06,0.934705,0.0086892,-0.00828706,107.571,-7.44682,train
17,0.0276596,0.5001,0.0734303,4.15966,0.171761,6.85279e+06,0.865762,0.00766566,-0.0945577,112.94,-2.46251,train
18,0.0127093,0.309113,0.14927,-3.25169,0.468187,1.219e+06,-0.272433,0.0115,-0.0265106,-23.6897,-1.31579,train
19,0.046268,0.251495,0.187628,2.94223,0.322019,1.21229e+06,1.00376,0.0132633,-0.108674,75.6798,-1.80133,train
20,0.0498585,0.355686,0.169704,4.20841,0.0752537,5.58721e+06,1.17903,0.00994149,-0.139101,118.597,-1.68245,train
21,0.0554834,0.53503,0.176697,-1.41779,0.232445,703133,0.694407,0.0138846,-0.197847,50.0128,-0.98967,train
22,0.0213314,0.249518,0.118262,-2.31325,0.192178,994762,-0.0307243,0.0111729,-0.0412382,-2.74989,-1.05675,train
23,0.0146664,0.527885,0.0680731,-1.46205,0.405481,361201,0.0373681,0.0123927,-0.0529351,3.01534,-0.650869,test
24,0.0155259,0.243131,0.161552,2.63816,0.179544,3.66817e+06,0.523467,0.00983009,-0.0376568,53.2515,-1.13531,train
25,0.0565271,0.57328,0.128391,-0.516194,0.1515,3.89075e+06,0.812813,0.00929077,-0.21162,87.4861,-0.876428,train
26,0.0585053,0.229263,0.0806393,5.10621,0.345209,6.50895e+06,1.31401,0.00827254,-0.128794,158.839,-1.98105,test
27,0.027444,0.302703,0.081387,2.23478,0.0890065,3.10244e+06,0.577992,0.00867466,-0.0652105,66.6299,-0.804142,train
28,0.020047,0.363089,0.157696,6.41332,0.0834561,1.32504e+06,1.05399,0.0122455,-0.0663264,86.0721,-2.18734,train
29,0.0411766,0.392154,0.188225,-1.84084,0.237723,489968,0.342805,0.0149888,-0.111729,22.8708,-0.896512,train
30,0.0424071,0.50988,0.182275,2.6551,0.371886,2.72938e+06,1.04918,0.0113802,-0.163513,92.1933,-1.44855,train
31,0.0179565,0.398987,0.138478,3.84339,0.380345,1.05195e+06,0.760171,0.011905,-0.0613414,63.8531,-1.42303,train
32,0.0400385,0.506737,0.122963,-1.68249,0.486893,228535,0.420421,0.015235,-0.148894,27.5957,-0.689195,train
33,0.0179428,0.421107,0.0878965,5.48174,0.414836,1.53995e+06,0.953626,0.010272,-0.062449,92.8373,-3.22495,train
34,0.0469057,0.431372,0.134895,3.98394,0.104395,2.08488e+06,1.1167,0.0108434,-0.145788,102.985,-1.41402,train
35,0.0491199,0.460241,0.187151,5.23792,0.423121,7.73855e+06,1.51008,0.0103059,-0.186395,146.525,-2.10117,train
36,0.00349323,0.570347,0.0939157,0.879112,0.401482,1.30673e+06,0.169835,0.0101655,-0.0151156,16.7069,-0.522885,train
37,0.0573591,0.387911,0.0756088,4.51345,0.348205,804632,1.29824,0.0118281,-0.168227,109.759,-1.94501,train
38,0.00996118,0.504852,0.124574,-2.79102,0.334275,397523,-0.205845,0.013538,-0.0305116,-15.205,-1.03974,train
39,0.0296878,0.368439,0.166791,3.65161,0.140119,2.44777e+06,0.853798,0.0109532,-0.0876233,77.9497,-1.38212,train
40,0.0130806,0.466009,0.138925,4.17258,0.134162,239266,0.695805,0.01586,-0.048785,43.8718,-1.4763,train
41,0.0253876,0.562654,0.0925431,1.15383,0.070064,2.29429e+06,0.510722,0.00929206,-0.093608,54.9633,-0.638393,train
42,0.0197472,0.222014,0.162805,0.6263,0.149871,275313,0.31853,0.0158445,-0.0395184,20.1035,-0.913119,train
43,0.0361506,0.266574,0.0991424,6.24247,0.369605,2.68019e+06,1.23573,0.00983795,-0.0920183,125.608,-2.46718,train
44,0.00543389,0.2508,0.148462,-2.00508,0.372898,224340,-0.194671,0.015968,-0.0078857,-12.1913,-0.880526,train
45,0.0455238,0.598344,0.183375,-0.428687,0.475544,7.63444e+06,0.800873,0.00934845,-0.20439,85.669,-1.10904,train
46,0.00787474,0.305149,0.115689,5.11294,0.385108,4.29019e+06,0.76375,0.00887613,-0.0276678,86.0454,-2.15048,train
47,0.0168619,0.324038,0.156109,6.58323,0.152017,1.23843e+06,1.03463,0.0123276,-0.055301,83.9278,-2.26937,test
48,0.00400634,0.514417,0.17526,6.01437,0.103904,3.27561e+06,0.815804,0.0105787,-0.0282696,77.1179,-2.03126,train
49,0.0396564,0.540777,0.0801245,0.267333,0.254152,3.44195e+06,0.612282,0.00852187,-0.142305,71.8483,-0.614631,train
50,0.00871084,0.588101,0.0604399,4.48475,0.127403,1.93755e+06,0.646935,0.00911281,-0.036068,70.9918,-3.85972,train
51,0.0387372,0.273519,0.0855583,4.11903,0.2843,8.78422e+06,0.958634,0.0076004,-0.0920718,126.129,-1.3181,train
52,0.0574226,0.207652,0.147743,4.97087,0.234428,444745,1.31483,0.0152723,-0.120376,86.0925,-2.29344,train
53,0.00226205,0.223209,0.13144,-2.29737,0.433645,2.46225e+06,-0.279535,0.00977517,-0.000635001,-28.5965,-0.964548,train
54,0.0544923,0.343853,0.19671,-0.768412,0.467054,4.19182e+06,0.712996,0.0105946,-0.151904,67.2978,-1.38231,train
55,0.0436793,0.588922,0.100777,5.30532,0.420331,799491,1.42174,0.0126298,-0.191099,112.57,-3.15034,train
56,0.0336213,0.465225,0.19039,4.72236,0.376338,231525,1.17322,0.0188598,-0.129226,62.2073,-1.85007,train
57,0.057746,0.580536,0.193341,7.52636,0.362548,979365,2.02463,0.0164466,-0.264494,123.104,-3.06414,train
58,0.0050494,0.22939,0.130625,4.68766,0.191134,329066,0.636909,0.0145415,-0.0179833,43.7995,-1.67712,test
59,0.0314836,0.209639,0.141096,7.93609,0.219698,911631,1.36177,0.0132036,-0.0764706,103.136,-2.69518,train
60,0.0253282,0.203318,0.181859,0.543939,0.10843,1.71668e+06,0.378555,0.0116755,-0.0473444,32.4231,-1.07099,train
61,0.0216791,0.372419,0.115419,-3.83572,0.132333,310391,-0.188472,0.0139772,-0.0518576,-13.4842,-1.60768,train
62,0.0359191,0.21589,0.0757482,-0.597627,0.228974,8.8054e+06,0.328002,0.00711818,-0.0697758,46.0794,-0.937996,train
63,0.0415641,0.299449,0.145444,1.56535,0.0720128,417728,0.704741,0.014359,-0.0983066,49.08,-1.17411,test
64,0.00385607,0.598772,0.124132,-1.5419,0.426568,8.6541e+06,-0.137449,0.00777158,-0.0140845,-17.6861,-0.7206,train
65,0.0311429,0.433695,0.0956056,2.68197,0.363084,2.39716e+06,0.770565,0.00945525,-0.100622,81.496,-1.04128,train
66,0.0125151,0.349328,0.170013,4.37669,0.0675657,5.2294e+06,0.710009,0.00956514,-0.0420976,74.2288,-1.4773,test
67,0.00664813,0.444877,0.0932375,-3.17935,0.31458,7.28079e+06,-0.30243,0.00757289,-0.0170508,-39.936,-1.40228,train
68,0.0421248,0.596591,0.140814,-2.81401,0.075633,228142,0.332124,0.0157297,-0.159328,21.1145,-0.754433,train
69,0.0512917,0.587157,0.151354,-0.144403,0.392075,1.37989e+06,0.869133,0.0117507,-0.214243,73.964,-1.01403,train
70,0.00553971,0.579432,0.193601,2.75264,0.223098,7.69811e+06,0.451945,0.00933409,-0.0297905,48.4187,-1.17708,train
71,0.0303927,0.563801,0.0873726,1.1339,0.132011,6.54979e+06,0.583387,0.00773591,-0.11235,75.4129,-0.647669,train
72,0.0536759,0.297652,0.128821,-2.01831,0.113125,373307,0.404857,0.013925,-0.118963,29.0741,-1.06276,train
73,0.0549018,0.503414,0.185287,-1.32567,0.130922,1.63318e+06,0.663288,0.0120888,-0.182154,54.8678,-1.01627,train
74,0.0250919,0.227529,0.11286,-0.939424,0.168076,1.50989e+06,0.175761,0.0102592,-0.0484043,17.132,-0.615996,train
75,0.00884424,0.334767,0.0834396,1.33258,0.354861,7.65481e+06,0.277893,0.00737119,-0.0243838,37.7,-0.579224,train
76,0.0292747,0.264751,0.110643,6.23434,0.222013,8.08345e+06,1.10707,0.00821102,-0.0732559,134.827,-2.30313,test
