sample_id,width_mm,k_W_mK,q_gen_MW_m3,h_top_W_m2K,T_inf_C,T_left_C,T_right_C,T_max_C,T_mean_C,T_center_C,x_Tmax_mm,y_Tmax_mm,q_top_conv_W_per_m,q_sides_W_per_m,split
0,110.86,168.133,0.00421209,48.2493,27.4889,80.9715,140.103,140.103,110.346,110.346,110.86,0,440.555,-388.789,test
1,118.735,5.64589,0.00199013,952.754,28.0338,108.622,34.8277,108.622,61.9825,61.9209,0,0,1018.25,-990.195,train
2,161.409,29.6697,0.608932,1214.32,27.6163,41.5757,107.015,138.196,100.007,122.346,104.916,0,6476.48,9387.95,train
3,44.203,149.811,0.121605,239.514,36.2386,120.393,132.191,132.191,125.905,125.944,44.203,0,936.887,-699.282,train
4,192.702,24.5052,0.00721049,1363.22,30.9751,146.976,82.9939,146.976,98.4878,98.3589,0,0,6723.46,-6455.71,train
5,136.112,6.88687,0.478219,405.631,15.8963,70.9119,135.324,248.531,167.129,220.956,74.8616,0,3406.52,5453.19,train
6,184.866,12.5338,0.119301,936.947,19.6694,126.082,115.431,149.675,118.493,131.521,83.1898,0,5418.12,-1340.94,train
7,48.0016,156.188,0.0249663,56.9187,32.047,147.324,127.14,147.324,137.11,137.118,0,0,286.111,-228.585,test
8,193.12,69.1201,0.0756386,234.264,21.5775,88.8469,89.1438,92.737,89.1014,90.7031,96.5601,0,2726.34,94.6281,train
9,100.079,105.405,0.00371568,57.4343,27.5201,85.8564,114.199,114.199,99.7345,99.731,100.079,0,410.871,-373.655,train
10,184.572,96.7813,0.26736,315.257,38.0347,132.674,139.899,146.486,139.431,143.286,110.743,0,5312.88,3795.27,train
11,156.137,30.0555,0.0178395,381.196,38.8228,99.8708,44.8474,99.8708,70.0029,70.4515,0,0,1371.04,-936.135,train
12,33.9471,66.559,0.26116,1978.9,37.8574,93.6303,113.451,113.451,99.7168,99.6851,33.9471,0,3508.41,-3207.44,train
13,198.158,44.0861,0.281544,140.824,39.5731,145.036,75.4259,150.124,126.428,137.14,39.6315,0,2173.84,8881.39,train
14,136.948,182.718,0.00196425,275.824,25.8245,28.547,43.2755,43.2755,35.7653,35.7647,136.948,0,361.509,-324.67,train
15,82.5348,150.542,0.0712912,18.6827,22.6462,78.5559,111.92,111.92,95.4385,95.576,82.5348,0,112.037,373.597,train
16,77.4496,185.666,0.0117883,183.061,31.1849,23.6473,146.875,146.875,84.9581,84.9552,77.4496,0,751.607,-680.896,train
17,104.034,41.5751,0.00774811,446.65,28.365,31.4865,51.1808,51.1808,40.5967,40.6358,104.034,0,472.187,-388.329,train
18,182.976,5.41221,0.635662,77.6325,17.47,57.5864,83.2539,539.309,337.134,505.261,91.4879,0,3001.57,18280.5,train
19,62.5499,7.95789,0.0160347,129.14,27.1924,82.5066,142.088,142.088,107.471,107.517,62.5499,0,547.001,-484.266,train
20,167.914,11.0814,0.00448868,738.876,23.7199,104.79,39.4815,104.79,62.8391,62.9829,0,0,1794.85,-1668.29,train
21,52.3173,6.03773,0.0111943,172.604,33.7713,64.4298,25.3237,64.4298,44.312,44.4814,0,0,74.9348,-44.2948,train
22,51.5747,17.1951,0.0149465,11.6128,25.088,82.7643,49.9724,82.7643,66.4378,66.532,0,0,24.6068,15.15,train
23,196.076,128.322,0.0253116,420.777,22.0924,55.9181,127.57,127.57,89.2453,89.4017,196.076,0,4952.45,-3979.32,test
24,42.2479,17.6499,0.435733,30.9657,36.9198,81.7569,122.71,122.71,105.396,107.299,42.2479,0,88.4564,689.277,train
25,49.0084,28.5915,0.357372,45.626,28.5845,57.9084,70.4207,70.4994,66.36,67.6588,45.3327,0,83.3656,774.978,train
26,155.709,11.9536,0.0136526,30.0977,20.6644,63.3746,54.0173,63.5301,59.7678,60.9104,15.5709,0,170.926,160.085,test
27,186.203,107.736,0.0238748,1634.61,23.4507,62.4707,146.669,146.669,95.0513,94.8922,186.203,0,14597.1,-13769.4,train
28,28.1213,20.109,0.0412256,19.2189,25.8508,91.2315,22.404,91.2315,56.8808,56.9477,0,0,16.6877,15.9139,train
29,124.233,13.0606,0.00711396,14.5788,18.1184,73.317,33.3446,73.317,53.6174,53.9619,0,0,62.6883,47.1065,train
30,188.929,39.1757,0.564306,72.7259,17.1243,141.017,99.256,184.42,157.878,180.113,80.2947,0,1823.43,18319,train
