sample_id,m_hot_kg_s,m_cold_kg_s,cp_hot_J_kgK,cp_cold_J_kgK,UA_W_K,T_hot_in_C,T_cold_in_C,Q_kW,T_hot_out_C,T_cold_out_C,effectiveness,NTU,LMTD_K,split
0,0.156862,3.96774,3570.17,2312.67,5961.51,209.449,53.2917,87.4478,53.2984,62.8217,0.999957,10.6451,14.6687,test
1,3.17335,0.296393,3929.82,3664.57,14504.3,154.973,43.9079,120.634,145.3,154.973,0.999995,13.3538,8.31711,train
2,0.0616538,0.855893,1382.46,1160.71,2608.88,146.79,13.8454,11.3314,13.8454,25.2516,1,30.6086,4.34338,train
3,3.79038,3.67447,3987.72,3219.26,160.427,229.219,39.4374,30.0825,227.229,41.9805,0.0134002,0.0135622,187.515,train
4,0.0802934,0.479479,2592.31,1308.4,3926.47,151.529,20.9437,27.1806,20.944,64.2697,0.999998,18.8641,6.92241,train
5,3.3963,0.996769,3255.54,1330.77,943.246,242.016,48.2976,127.723,230.464,144.585,0.497051,0.711093,135.408,train
6,1.8484,4.83618,2820.56,1958.41,2759.1,237.066,54.6149,355.765,168.827,92.1777,0.374013,0.52922,128.943,train
7,0.849711,0.450701,2097.2,1122.22,3304.21,109.006,49.9043,29.6931,92.3429,108.611,0.993328,6.53282,8.98646,test
8,1.85034,0.235158,3694.4,1148.49,433.498,214.763,17.0725,42.3223,208.572,173.778,0.792682,1.6051,97.6298,train
9,0.106883,0.278206,1113.08,2783.4,288.867,146.02,17.2959,13.6206,31.5307,34.8854,0.889416,2.42809,47.1519,train
10,0.152496,0.28013,3138.91,1123.78,1022.05,110.681,51.7837,15.8754,77.5156,102.213,0.856226,3.24662,15.5329,train
11,1.85213,3.85734,1449.82,2464.23,1081.89,139.658,50.355,76.3568,111.222,58.388,0.318419,0.402899,70.5775,train
12,4.02681,0.0975515,1689.61,3488.96,448.256,171.308,38.1115,32.8304,166.483,134.571,0.724191,1.31703,73.2403,train
13,0.232726,0.386375,1393.83,2595.05,1248.3,206.02,54.9782,46.481,62.728,101.336,0.948691,3.84827,37.2355,train
14,0.153043,0.253846,1222.06,1455.32,106.261,268.804,26.876,17.9216,172.981,75.3876,0.396078,0.568152,168.656,train
15,0.28028,0.801491,3799.09,2987.6,569.191,184.305,37.8105,59.8393,128.108,62.8004,0.383613,0.534549,105.13,train
16,0.445168,3.74011,1567.17,2928.5,10514.1,224.573,5.65575,152.728,5.6559,19.5998,0.999999,15.0707,14.526,train
17,2.77093,1.00739,1418.26,4195.35,154.599,106.304,47.8978,8.69926,104.09,49.9562,0.0379005,0.0393392,56.2698,train
18,0.220053,0.200028,3501.9,1217,1404.36,128.275,51.608,18.4153,104.378,127.256,0.986701,5.76894,13.1129,train
19,2.33907,0.492976,2616.37,3516.57,122.122,228.695,39.8207,22.0637,225.09,52.5479,0.0673846,0.0704446,180.669,train
20,0.0777261,0.209265,2148.69,3080.69,17990.3,287.371,55.8912,38.6593,55.8912,115.858,1,107.72,2.1489,train
21,0.0947818,0.134143,1434.91,3364.89,1139.45,88.2437,9.48729,10.6897,9.64531,33.1696,0.997994,8.37807,9.38144,train
22,0.222771,0.0653961,3219.96,2550.48,4559.34,191.558,16.0265,29.2771,150.743,191.558,1,27.3356,6.42135,train
23,0.18736,0.0934996,2351.7,1134.01,107.691,196.676,14.9544,11.6548,170.225,124.874,0.604882,1.01567,108.224,test
24,1.48442,4.8528,3148.04,3895.64,6803.28,138.083,7.7145,442.136,43.4683,31.102,0.725748,1.45587,64.9887,train
25,0.20398,0.101797,3086.22,2655.67,131.884,169.121,42.1302,12.3591,149.488,87.8472,0.360004,0.487849,93.7116,train
26,0.0530155,2.66062,3102.11,3508.13,235.198,133.381,34.3945,12.3379,58.36,35.7164,0.757891,1.43012,52.4576,test
27,0.471436,0.754274,1138.08,3657.64,353.783,287.853,49.2292,59.5683,176.828,70.8208,0.465271,0.659388,168.375,train
28,1.05124,0.333312,1049.83,3467.89,500.825,144.852,59.4279,29.6365,117.998,85.0675,0.314361,0.453805,59.1754,train
29,4.30335,0.14381,2849.85,1917.25,355.263,254.761,30.3389,44.602,251.124,192.105,0.720811,1.2885,125.546,train
30,0.114859,3.11364,2911.19,2836.36,5778.38,231.413,55.4117,58.8507,55.4117,62.0755,1,17.281,10.1846,train
31,0.468839,0.280917,2612.61,3471.01,5147.4,149.913,44.3519,93.1145,73.8949,139.848,0.904646,5.27903,18.0896,train
32,0.0906475,0.524924,3735.39,3053.36,1153.15,277.128,35.2864,77.4229,48.4748,83.5918,0.945467,3.4056,67.1405,train
33,0.070065,0.556835,2185.53,1795.21,359.583,130.432,57.8792,9.79436,66.4701,67.6771,0.88159,2.34824,27.2381,train
34,1.07661,0.0895392,2445.57,1906.72,222.96,103.138,56.0375,5.78078,100.942,89.8973,0.718889,1.30595,25.9274,train
35,4.51807,2.71627,3957.79,3150.27,4064.5,282.181,58.5487,670.193,244.701,136.87,0.350223,0.47499,164.89,train
36,0.0577515,2.21323,1279.87,1621.08,16692.6,220.732,20.4004,14.8074,20.4004,24.5276,1,225.836,0.887063,train
37,0.163405,0.137926,2707.19,2217.66,129.693,136.053,46.2097,8.56751,116.685,74.2197,0.311766,0.424008,66.0602,train
38,0.232966,2.58797,3150.53,3612.75,293.139,272.945,42.9867,54.955,198.071,48.8644,0.325598,0.399389,187.471,train
39,1.11467,0.272908,3314.04,2618.12,4765.79,227.376,41.0175,132.659,191.464,226.682,0.99628,6.67005,27.8356,train
40,0.500956,1.56143,3569.48,2103.26,455.177,155.909,21.8347,50.954,127.413,37.3502,0.212535,0.254552,111.943,train
41,0.204322,0.0827857,2566.11,1874.22,6154.08,284.827,40.9071,37.8462,212.644,284.827,1,39.6631,6.14978,train
42,2.78701,0.390216,3928.95,1407.33,495.777,125.561,49.7564,24.4905,123.325,94.3524,0.588299,0.902787,49.3982,train
43,1.9502,0.195118,4162.1,1235.53,216.623,272.605,56.4361,30.7025,268.823,183.793,0.589155,0.898574,141.732,train
44,0.0934682,0.335431,1700.6,3481.24,472.69,293.408,58.5909,34.8285,74.2961,88.4171,0.933118,2.97378,73.6814,train
45,0.359342,0.769196,2781.84,3348.7,3437.6,235.992,24.0148,195.303,40.6164,99.8371,0.921682,3.43887,56.8138,train
46,0.440603,0.112676,3149.85,1301.07,3780.05,131.299,19.5953,16.3757,119.499,131.299,1,25.7849,4.33212,train
47,0.0657293,1.30847,3827.86,1889.17,18679.3,280.074,5.6343,69.0498,5.6343,33.5679,1,74.2413,3.6966,test
48,0.135442,0.0722204,1269.91,2652.33,156.086,260.553,29.5273,19.3675,147.951,130.635,0.487402,0.907483,124.082,train
49,3.5799,1.36713,2570.64,3863.44,6410.93,98.3949,20.3123,253.152,70.8862,68.2414,0.613825,1.21377,39.4876,train
50,0.103483,0.229695,2512.45,3539.29,124.918,239.892,23.6396,20.3732,161.532,48.7003,0.362353,0.48046,163.093,train
51,1.92601,0.806824,4121.58,2556.63,4945.35,94.683,57.6757,66.3144,86.3292,89.8241,0.868705,2.39745,13.4094,train
52,3.5728,2.85353,2975.6,1829.77,4642.13,120.098,17.9181,282.363,93.538,71.9972,0.529255,0.889076,60.8262,train
