sample_id,diameter_mm,length_mm,k_W_mK,h_W_m2K,T_base_C,T_inf_C,heat_rate_W,T_tip_C,fin_efficiency,fin_effectiveness,biot_number,split
0,9.93093,18.1368,22.4524,24.7015,135.22,30.9495,1.56031,126.243,0.941688,7.82089,0.00273143,test
1,15.0806,126.145,17.0744,91.223,234.669,9.5344,25.8443,12.9502,0.204451,7.04518,0.0201427,train
2,17.3082,83.6982,51.8636,10.3853,195.963,1.44882,8.65811,165.706,0.895456,18.2163,0.00086646,train
3,18.3483,103.649,16.9093,114.996,237.695,19.4132,37.5603,26.2689,0.239833,5.65908,0.0311955,train
4,12.9413,131.55,127.844,202.569,284.047,25.356,95.7785,51.558,0.333537,13.8953,0.00512638,train
5,10.0987,108.193,76.4659,6.88492,247.305,6.72071,5.09644,202.871,0.875929,38.4129,0.00022732,train
6,2.08062,76.0131,269.768,9.92561,112.275,4.86248,0.470139,93.3118,0.881495,129.699,1.91381e-05,train
7,10.5004,118.561,34.9086,67.8122,285.785,14.5975,22.2398,34.6916,0.302514,13.9653,0.00509944,test
8,16.2696,16.1811,201.03,261.852,172.548,26.4467,37.9599,163.813,0.958729,4.77278,0.00529798,train
9,3.82118,133.588,43.5769,26.6293,276.333,25.7761,3.15987,42.4382,0.293219,41.297,0.000583768,train
10,6.58688,75.9248,124.08,182.631,120.091,22.6135,12.086,41.6274,0.422931,19.9228,0.00242377,train
11,10.7896,54.4099,62.1139,44.1327,299.869,34.9811,17.8022,216.438,0.786684,16.655,0.00191655,train
12,5.75135,134.929,289.663,14.1652,205.987,11.334,5.65,157.337,0.831646,78.8743,7.03137e-05,train
13,18.1339,146.533,22.2369,390.711,141.126,0.452095,50.296,0.476053,0.10633,3.54319,0.0796548,train
14,19.4239,92.4785,70.2325,58.0634,147.286,16.9615,30.2164,84.9398,0.672294,13.4756,0.00401459,train
15,16.3465,106.171,178.752,454.058,60.2801,18.1779,39.0559,23.571,0.360817,9.73491,0.0103807,train
16,9.71872,115.751,184.659,21.3094,233.849,37.4915,12.458,182.917,0.825141,40.135,0.000280381,train
17,15.9463,81.2412,39.1368,68.8005,79.2828,13.4152,10.2246,34.8904,0.528436,11.2973,0.0070082,train
18,2.12823,141.538,218.459,382.6,228.361,22.6383,9.17249,22.757,0.122684,32.7592,0.000931822,train
19,18.6423,53.1185,32.9825,66.2623,288.231,27.6731,40.5996,172.264,0.694914,8.61513,0.00936317,train
20,8.81204,68.4322,294.629,48.2419,157.557,10.9718,12.3393,134.049,0.892336,28.611,0.000360715,train
21,18.508,63.1151,76.7447,23.8011,230.17,38.644,16.3163,204.187,0.908714,13.3041,0.00143499,train
22,3.93953,89.3852,268.497,302.833,171.19,3.25544,18.5175,19.006,0.325551,29.8717,0.00111083,train
23,13.6559,59.3879,18.2742,40.9289,223.158,34.1153,11.9616,107.148,0.573792,10.5552,0.00764636,test
24,15.7222,140.283,55.8953,21.0568,141.825,30.4631,10.5044,81.7337,0.628885,23.0741,0.00148071,train
25,12.5305,97.4385,15.627,237.763,279.444,29.985,33.5029,30.4454,0.142674,4.58047,0.0476626,train
26,13.1433,44.6069,393.408,85.2049,83.7038,33.5008,8.05707,80.1505,0.95249,13.8831,0.000711647,test
27,15.3366,141.144,16.384,119.934,249.42,32.7063,28.6599,33.4848,0.157859,5.96901,0.0280666,train
28,11.4073,59.4916,19.6946,5.26518,116.953,28.6672,0.92844,103.024,0.893983,19.5433,0.000762408,train
29,16.5324,100.997,170.551,6.01901,280.349,11.476,8.56869,268.161,0.969688,24.665,0.000145864,train
30,8.75769,44.9665,20.3377,44.2911,269.977,20.7916,8.6925,128.195,0.607057,13.0748,0.00476809,train
31,6.54356,83.3096,17.9754,12.3052,277.903,23.886,2.95255,110.628,0.540929,28.0884,0.00111986,train
32,4.15123,90.6597,59.5893,37.6101,118.758,30.2643,1.72227,48.5159,0.432713,38.2332,0.000655017,train
33,7.06827,90.39,48.0249,297.762,236.233,10.9501,25.146,12.8786,0.183181,9.55338,0.0109561,train
34,7.79737,27.4641,38.3602,87.935,56.1754,29.2283,1.29532,46.6141,0.758681,11.4476,0.00446857,train
35,4.17077,79.5076,43.8791,10.2178,134.248,36.0096,0.734711,90.1021,0.693493,53.5739,0.000242805,train
36,2.21438,45.7038,44.6873,60.7461,98.7144,20.3801,0.654533,36.0563,0.427444,35.7165,0.000752533,train
37,3.59818,109.375,42.781,12.0438,160.285,4.30699,1.15282,47.7803,0.492294,60.3501,0.000253241,train
38,14.1107,112.019,35.8853,6.27338,200.261,28.9257,4.54487,155.931,0.825503,27.0388,0.000616699,train
39,17.7051,31.4495,254.177,10.6623,99.0529,19.3142,1.6897,98.5764,0.995961,8.07245,0.000185675,train
40,13.0113,53.6825,128.153,33.4693,110.572,15.2663,6.84037,99.421,0.921428,16.128,0.000849536,train
41,8.59703,104.916,16.299,112.585,261.001,35.4778,12.0962,36.5278,0.164751,8.20712,0.014846,train
42,13.7413,50.8373,17.8001,16.0624,134.054,26.5075,3.24964,102.764,0.802916,12.6847,0.00309997,train
43,19.4241,69.8006,26.4432,160.682,277.797,15.3362,72.0173,53.0695,0.374841,5.7628,0.0295076,train
44,4.36613,79.1973,24.8568,111.59,198.594,1.67277,4.69963,3.96428,0.194198,14.2844,0.00490024,train
45,19.5077,68.8962,81.9063,19.9134,169.714,35.7921,11.0738,153.465,0.918425,13.893,0.0011857,train
46,16.4959,82.9816,114.824,26.3853,160.854,29.4511,13.764,137.303,0.879437,18.5752,0.000947644,train
47,16.5493,30.5475,215.79,14.9411,145.355,4.44022,3.77148,143.968,0.993354,8.32766,0.000286465,test
48,15.3289,47.2505,63.4408,5.63293,60.5908,6.67426,0.732425,59.0098,0.980331,13.0676,0.000340264,train
49,19.2875,123.283,25.3903,33.5907,102.374,30.2839,8.6078,47.3638,0.457935,12.1662,0.00637921,train
50,6.02155,88.011,149.698,365.27,293.484,10.0357,48.5767,25.4803,0.277063,16.4753,0.00367322,train
51,4.3486,129.822,94.073,243.371,241.485,31.3088,14.3249,32.018,0.156592,18.856,0.00281251,train
52,7.84093,124.339,45.3639,393.406,60.8834,7.76632,7.73893,7.79038,0.119039,7.66974,0.0169996,train
53,4.27941,123.163,118.073,5.07091,75.1347,2.69725,0.51191,57.3227,0.834402,96.8916,4.59473e-05,train
54,17.3449,79.5918,17.8451,8.66937,76.7589,28.1224,1.54246,62.3792,0.799902,15.4822,0.0021066,train
55,17.3581,60.8722,41.5363,101.356,150.941,26.5013,26.4886,77.4696,0.590572,8.87474,0.0105892,train
56,8.76304,12.125,123.206,206.227,229.175,19.1212,16.2365,214.091,0.951041,6.21466,0.00366698,train
57,8.68912,20.3764,324.636,10.1691,141.956,0.543981,0.882995,141.444,0.997565,10.3549,6.80461e-05,train
58,16.765,97.8835,152.987,20.661,230.577,26.2878,20.4527,200.554,0.901327,21.9511,0.000566031,test
59,5.59386,72.3158,136.208,17.9746,77.6428,25.5665,1.04054,66.6555,0.858115,45.232,0.000184547,train
60,11.1221,105.239,27.9065,68.3043,251.838,39.1949,17.0489,56.4736,0.311,12.082,0.00680563,train
61,19.5868,91.8956,37.7804,280.648,128.219,24.3721,45.9951,29.2355,0.264974,5.23771,0.0363746,train
62,6.92699,15.3907,150.527,157.836,106.592,5.74187,5.60381,98.3417,0.9448,9.34157,0.00181584,train
63,2.53858,133.169,77.2032,19.8588,110.211,23.6927,0.674426,35.3419,0.367846,77.5538,0.000163248,test
64,5.71739,120.352,66.0025,67.559,122.95,2.06461,5.46551,11.3487,0.305944,26.0667,0.00146306,train
65,14.0555,35.0894,166.539,12.0981,205.697,29.7776,3.59107,203.043,0.989863,10.8746,0.000255261,train
66,8.4363,38.6146,25.6555,32.7014,299.398,5.11661,7.90663,195.912,0.761225,14.6983,0.0026883,test
67,6.29363,64.1318,140.023,226.219,258.224,39.5504,29.631,92.1017,0.461076,19.2545,0.00254197,train
68,2.67155,131.392,180.073,132.147,115.091,33.5908,2.72609,35.6378,0.22837,45.1551,0.000490132,train
69,11.7116,101.512,70.6744,10.4055,101.66,2.19239,3.3806,79.4942,0.849997,30.3198,0.000431079,train
70,18.74,32.1923,145.561,467.486,198.892,5.03691,152.224,134.896,0.773677,6.08989,0.0150464,train
71,4.44001,125.824,77.2115,18.7233,240.533,20.6257,3.70753,86.4607,0.508569,58.1572,0.000269169,train
72,8.0055,30.8632,53.6176,11.3468,102.935,5.86265,0.877262,97.6628,0.963601,15.8233,0.000423539,train
73,6.51553,43.5809,162.204,80.4122,294.599,22.7267,16.8701,227.61,0.83387,23.1441,0.000807515,train
74,17.0403,100.898,123.91,133.298,268.949,35.8053,97.5442,120.681,0.557554,13.7629,0.00458283,train
75,15.9982,121.856,71.9665,59.3192,269.722,6.98495,51.7005,91.1299,0.524426,16.5023,0.00329668,train
76,11.0006,52.8525,223.644,70.4001,266.596,15.6857,30.4356,228.014,0.896657,18.1286,0.000865711,test
