sample_id,A1_cm2,A2_cm2,A3_cm2,A4_cm2,A5_cm2,A6_cm2,A7_cm2,A8_cm2,A9_cm2,A10_cm2,E_GPa,P2_kN,P4_kN,density_kg_m3,mass_kg,max_disp_mm,v_node2_mm,v_node4_mm,max_abs_stress_MPa,stress1_MPa,stress2_MPa,stress3_MPa,stress4_MPa,stress5_MPa,stress6_MPa,stress7_MPa,stress8_MPa,stress9_MPa,stress10_MPa,split
0,94.7464,163.684,225.765,21.3315,219.919,192.193,17.4637,188.861,164.734,145.472,108.102,348.544,319.382,7043.59,10615,32.9532,-32.1992,-16.7924,95.6698,95.6698,13.142,-20.3121,-62.5508,19.3009,11.1926,89.1049,-41.7756,11.4547,-20.9124,test
1,96.2972,121.867,210.081,221.647,56.7628,208.371,47.8881,34.7612,28.5144,99.1869,109.778,223.151,567.441,5989.83,6641.01,39.4373,-39.3081,-27.3321,146.915,53.6111,11.0402,-34.3028,-3.99772,36.0271,6.4569,146.915,-119.247,43.9465,-19.1832,train
2,137.281,128.736,83.4113,82.911,102.655,162.036,115.073,32.9963,114.681,56.2258,138.855,389.824,457.507,4584.36,4812.9,35.5848,-34.2249,-17.391,117.994,46.8218,10.9802,-117.994,-29.9682,0.436773,8.7237,73.0474,-108.415,30.6404,-35.5542,train
3,92.3385,217.041,38.7541,186.061,165.04,159.215,146.34,178.176,108.222,202.206,86.529,563.267,519.271,6429.16,10325.5,81.3267,-77.098,-30.8054,228.913,143.162,12.2219,-228.913,-16.0164,27.9127,16.6608,31.298,-60.2171,38.9419,-18.5525,train
4,191.308,29.1334,213.191,161.421,48.3389,152.9,94.9474,56.7766,163.064,112.398,92.0971,341.419,554.169,6458.96,8271.01,34.1584,-33.6506,-21.0047,84.47,35.0165,25.8547,-42.6159,-16.4845,12.9044,4.92631,84.47,-81.8175,23.0778,-9.47737,train
5,180.126,129.477,208.555,215.521,114.657,157.982,52.4186,93.0376,35.6173,222.55,137.486,393.11,347.535,7082.49,10213.8,23.776,-23.6313,-13.4741,84.3733,45.5804,21.1525,-33.8445,-5.53234,26.9218,17.336,84.3733,-65.0444,47.3427,-17.4037,train
6,89.0549,43.9795,104.104,169.016,161.138,200.591,138.446,103.377,178.747,56.8746,82.268,299.912,390.727,5656.24,7463.77,37.8745,-36.7805,-16.5638,67.2549,66.2861,14.1932,-67.2549,-14.0514,3.28334,3.11187,40.8843,-39.7271,18.7898,-15.5213,train
7,155.384,36.7749,158.192,132.2,89.2348,104.711,205.178,12.5731,102.895,75.7824,128.319,405.69,392.579,6627.15,7496.86,28.1602,-27.404,-12.2355,80.8254,30.7334,40.5919,-71.5649,-19.3959,-20.682,14.256,50.0687,-80.8254,35.2422,-27.8572,test
8,45.926,65.7052,114.928,158.551,69.7613,111.23,168.968,94.646,135.313,100.548,139.532,259.691,333.558,5243.9,6101.5,22.3506,-21.8232,-8.79849,90.1489,90.1489,13.9033,-60.7872,-10.6173,-2.00856,8.21289,36.7364,-23.0598,17.5938,-12.8487,train
9,40.973,78.5622,146.885,19.6662,51.6082,221.92,189.044,95.2184,191.41,105.894,180.064,286.288,285.021,6803.37,8597.88,18.3328,-17.4799,-6.19355,94.424,94.424,22.0978,-51.5369,-57.2977,-2.34202,7.82286,35.2134,-14.9408,8.32545,-23.185,train
10,9.45574,220.516,180.386,5.34676,66.0177,28.3979,98.0535,56.5309,108.937,116.505,148.254,442.891,523.789,6146.66,5887.8,69.4057,-67.5612,-23.0209,418.388,418.388,15.7941,-80.7625,-176.939,-21.491,122.645,146.241,11.8263,12.2816,-42.2773,train
11,44.7252,70.2834,210.88,132.854,21.1954,153.844,213.225,25.5293,117.032,159.696,207.382,543.728,297.205,6516.1,8119.9,22.3328,-21.7209,-7.19529,138.985,138.985,47.557,-61.9676,-15.7677,-62.0877,21.7264,50.6092,-43.1445,25.3137,-29.5997,train
12,151.49,53.6716,2.58074,185.997,16.4383,44.7035,59.5653,111.266,89.5172,160.117,96.6094,448.094,303.771,4458.35,4278.55,151.598,-132.616,-59.1155,745.939,96.082,-20.7907,-745.939,-30.0908,272.394,-24.9616,-60.6818,-128.05,88.4197,9.85579,train
13,221.833,77.8747,212.57,190.854,17.251,154.12,140.792,158.53,194.942,39.0302,169.077,318.456,521.914,7533.28,11219.1,12.3434,-12.006,-7.22135,48.0262,30.6853,2.84125,-37.4738,-15.5266,38.2102,1.43565,48.0262,-32.3154,21.4974,-8.01715,train
14,23.3177,66.527,57.0622,13.8274,97.2534,3.67318,25.4716,76.9917,150.991,106.635,139.596,578.372,434.814,4693.26,3308.34,120.204,-115.497,-45.6198,484.049,484.049,19.1728,-182.474,-326.035,10.231,347.249,256.988,-101.085,42.2249,-16.916,train
15,68.8515,114.832,179.323,58.2534,138.513,25.6911,168.59,20.9901,108.075,97.3733,93.1786,412.601,217.648,5761.62,6027.71,39.9836,-38.8172,-14.5845,69.8496,69.8496,13.9393,-54.3446,-43.3507,-13.2989,62.305,47.1369,-46.0338,33.0451,-23.2478,train
16,208.957,81.3022,88.7125,75.1731,125.64,114.882,1.01911,94.8196,88.3905,198.438,99.0256,451.684,521.294,6990.5,7899.63,55.4917,-54.8965,-37.7847,178.414,67.5645,22.8093,-52.3648,-35.4169,55.2279,16.1421,178.414,-143.2,42.5973,-13.2161,train
17,169.484,30.7831,74.6627,31.9456,22.4855,96.7498,201.098,221.37,71.4566,7.69413,179.644,595.035,244.534,7484.07,7770.76,37.7175,-34.9637,-8.0389,160.084,67.8341,27.1701,-117.858,-160.084,19.2327,8.64476,20.0374,-35.4331,101.212,-153.73,train
18,96.4777,43.5058,192.58,86.6737,10.7504,79.3792,10.9289,29.4229,84.854,137.126,86.178,356.295,311.381,3606.06,2902.88,80.7685,-80.4592,-65.947,295.579,82.4596,9.79346,-30.3621,-36.1918,116.804,5.36756,295.579,-211.129,52.2806,-4.39419,train
