sample_id,r_inner_mm,wall_ratio_ro_ri,p_internal_MPa,p_external_MPa,E_GPa,poisson,yield_MPa,hoop_stress_inner_MPa,hoop_stress_outer_MPa,axial_stress_MPa,von_mises_inner_MPa,tresca_inner_MPa,radial_disp_inner_um,radial_disp_outer_um,safety_factor_vm,split
0,64.6893,2.90459,121.461,12.3063,178.017,0.30884,820.721,126.204,17.0494,2.37157,214.484,247.665,59.2263,21.2341,3.82649,test
1,182.229,1.83425,137.757,24.9803,201.51,0.284079,709.82,183.189,70.412,22.7159,277.948,320.946,195.215,117.863,2.55379,train
2,28.1891,2.27178,22.33,1.50661,156.18,0.280359,354.536,29.3257,8.5023,3.49784,44.7351,51.6557,6.24596,3.25733,7.92523,train
3,189.174,2.87291,140.381,20.8055,82.4896,0.317827,656.988,131.74,12.1643,-4.3206,235.664,272.121,407.589,132.758,2.78782,train
4,38.5139,2.03271,77.1515,2.89125,166.983,0.282513,438.425,118.791,44.5305,20.8196,169.691,195.942,31.0692,18.5028,2.58367,train
5,184.883,2.33464,107.204,3.101,129.298,0.323643,761.699,147.784,43.681,20.29,220.826,254.988,251.538,127.249,3.44931,train
6,161.104,2.98626,87.494,8.98507,157.66,0.321394,836.358,89.355,10.8461,0.93052,153.156,176.849,119.736,40.9963,5.46084,train
7,130.727,2.00717,54.717,1.1458,162.424,0.263184,780.687,87.8006,34.2294,16.5418,123.424,142.518,78.753,48.751,6.32525,test
8,161.145,1.73877,127.09,1.39206,108.756,0.311256,392.675,248.555,122.857,60.7325,325.318,375.645,398.892,268.939,1.20705,train
9,49.6944,1.80813,10.1238,16.7194,98.0299,0.280009,395.315,-29.1278,-22.5322,-19.6258,16.4579,19.004,-10.543,-11.3248,24.0197,train
10,63.586,1.81097,101.919,1.16042,131.419,0.263946,802.899,187.998,87.2396,43.0396,251.076,289.918,98.4812,66.7559,3.19783,train
11,161.183,2.89295,25.3823,13.7272,132.922,0.277117,786.013,1.09111,-10.564,-12.1456,22.9266,26.4734,13.9338,-11.907,34.2839,train
12,191.539,1.37575,36.2479,23.334,109.64,0.291504,641.318,18.5126,5.59863,-8.86768,47.424,54.7605,55.3162,36.0163,13.5231,train
13,80.1087,1.94364,22.8453,14.9536,136.703,0.307282,840.651,-1.37986,-9.27151,-12.1126,18.5896,21.4654,5.48623,-1.08724,45.2216,train
14,63.726,1.77032,15.0623,4.26865,71.6046,0.33582,508.534,16.6407,5.84708,0.789213,27.4556,31.703,19.0756,11.0532,18.522,train
15,87.3759,2.24468,131.834,18.6337,115.952,0.297411,637.76,150.625,37.4253,9.39577,244.616,282.459,140.945,67.9518,2.60718,train
16,105.46,2.88022,30.6998,18.0797,193.009,0.315715,257.75,-1.99992,-14.62,-16.3499,24.8548,28.6999,7.02359,-5.90175,10.3702,train
17,176.929,2.33902,23.9524,29.9564,81.5118,0.261956,756.974,-38.6463,-32.6422,-31.2993,12.7253,14.6939,-52.4692,-84.2582,59.486,train
18,77.9202,1.67201,118.367,2.03442,139.815,0.271943,800.822,243.871,127.539,62.7521,313.708,362.238,144.34,103.458,2.55276,train
19,170.307,2.04416,78.2419,23.5928,75.2807,0.317589,661.517,65.4418,10.7928,-6.40003,124.434,143.684,208.862,93.961,5.31622,train
20,37.2437,1.69064,57.0501,19.5065,207.202,0.344259,851.442,58.4443,20.9007,0.697104,100.021,115.494,13.9922,8.31919,8.51263,train
21,44.9979,1.50717,24.7071,22.1709,134.292,0.253747,303.032,-15.6455,-18.1817,-20.1763,7.8476,9.06162,-1.42623,-3.75542,38.6146,train
22,78.3999,1.21075,105.592,14.5358,170.931,0.300708,380.313,467.385,376.329,180.896,496.212,572.976,203.986,181.205,0.766433,train
23,71.6337,1.35825,66.2489,1.25635,71.958,0.303034,367.643,217.594,152.602,75.6728,245.816,283.843,213.771,175.846,1.49561,test
24,152.533,2.98767,102.333,27.1466,181.507,0.276401,282.08,67.0117,-8.17493,-17.6608,146.657,169.345,84.1867,10.57,1.9234,train
25,74.9556,1.39333,99.5319,15.5219,77.3128,0.290509,688.811,246.975,162.965,73.7215,300.084,346.507,246.714,197.301,2.2954,train
26,22.289,2.73971,100.252,23.5137,92.5988,0.274264,597.39,76.8141,0.0760931,-11.7188,153.343,177.066,25.8814,6.42257,3.89576,test
27,107.701,2.21963,11.2568,24.9154,103.386,0.344479,772.709,-45.5307,-31.8721,-28.3937,29.6821,34.2739,-33.2019,-31.2344,26.0329,train
28,139.046,1.88269,7.25771,23.1364,112.571,0.279478,893.239,-51.4959,-35.6172,-29.3768,38.3114,44.2382,-50.9606,-48.6974,23.3152,train
29,194.135,1.53588,88.8211,8.59922,103.497,0.329437,549.459,189.69,109.468,50.4343,241.197,278.511,379.534,275.665,2.27805,train
30,52.5077,2.80458,91.6006,17.2158,177.192,0.318824,845.775,78.8375,4.45271,-6.38156,147.604,170.438,32.6192,9.9532,5.73003,train
31,107.485,1.81213,78.0714,23.1657,174.137,0.281779,715.068,79.8226,24.9169,0.875584,136.74,157.894,62.6963,34.8954,5.22939,train
32,43.2547,2.07007,128.947,19.2502,134.608,0.339604,607.93,157.229,47.5325,14.1411,247.836,286.177,63.0526,32.7726,2.45295,train
33,33.1878,2.09442,58.7191,7.45512,103.816,0.272923,874.936,74.0836,22.8196,7.68223,115.011,132.803,28.1358,15.2372,7.60744,train
34,139.978,1.34039,70.5025,8.50054,91.187,0.260517,853.17,209.158,147.156,69.3279,242.193,279.661,321.542,270.182,3.52268,train
35,196.039,2.74825,139.025,20.1588,167.896,0.3419,882.848,134.986,16.12,-2.01939,237.3,274.011,213.918,76.0603,3.72039,train
36,25.6334,2.66375,17.6816,5.8226,205.223,0.313969,432.005,9.92741,-1.93159,-3.87709,23.9101,27.609,2.08543,0.370584,18.0679,train
37,66.2865,1.51864,82.3572,11.4156,76.87,0.275479,737.023,168.143,97.2013,42.8928,216.939,250.5,154.368,115.935,3.39737,train
38,80.1491,2.72829,102.446,24.4946,98.4178,0.337702,698.933,77.652,-0.299446,-12.397,155.969,180.098,94.8216,27.0153,4.48122,train
39,141.336,1.80019,109.855,15.1699,172.102,0.316989,675.661,164.029,69.3439,27.087,237.19,273.883,156.252,96.9319,2.84861,train
40,110.075,2.51983,121.429,10.343,110.045,0.284504,448.956,142.275,31.1883,10.4226,228.374,263.704,173.903,78.553,1.96588,train
41,75.021,1.30804,75.9642,8.19583,178.857,0.343103,674.357,250.212,182.444,87.124,282.477,326.176,103.345,85.2404,2.3873,train
42,177.155,1.94772,137.718,3.81873,112.303,0.27071,778.939,225.942,92.0424,44.1118,314.938,363.659,396.391,249.285,2.47331,train
43,163.2,1.66176,148.283,2.2081,90.4251,0.337548,857.882,309.723,163.649,80.7205,396.645,458.006,600.151,411.327,2.16285,train
44,44.4525,1.8853,36.7462,23.2616,111.043,0.347004,883.348,0.78107,-12.7035,-17.9825,32.4995,37.5272,7.91515,1.21387,27.1803,train
45,97.0884,2.22771,85.7396,22.019,163.469,0.320905,474.721,73.8616,10.1411,-5.93897,138.219,159.601,61.3416,25.2882,3.43456,train
46,105.057,1.43522,102.415,2.82252,165.979,0.273318,422.49,284.706,185.114,91.1456,335.257,387.121,182.156,146.233,1.2602,train
47,30.691,2.4469,133.137,8.33601,208.195,0.340943,257.496,166.513,41.7113,16.6876,259.505,299.65,30.3992,14.0186,0.992261,test
48,58.9504,1.25171,17.2302,15.4906,81.7647,0.33207,539.868,-7.61234,-9.35194,-12.4213,8.32934,9.61789,1.61068,-0.07512,64.8153,train
49,186.941,2.465,76.1694,26.8447,179.937,0.258361,430.964,41.9137,-7.41103,-17.1279,102.263,118.083,68.5878,10.1152,4.21427,train
50,48.431,1.72907,73.5329,23.8059,75.8789,0.322678,470.287,75.9059,26.1788,1.18648,129.418,149.439,63.3484,36.9463,3.63386,train
51,162.712,2.24742,146.447,14.5934,173.079,0.256674,872.53,182.358,50.505,17.9558,284.754,328.805,202.44,104.884,3.06416,train
52,186.863,2.76859,94.5195,7.77906,171.407,0.268226,402.669,104.99,18.2492,5.23505,172.78,199.509,140.565,57.1401,2.33053,train
